Comment,Designator,Footprint,LCSC
100n,C1,C_0805_2012Metric,
100n,C2,C_0805_2012Metric,
100n,C3,C_0805_2012Metric,
CONN_02X20,P1,Pin_Header_Straight_2x20,
CONN_01X01,P20,1pin,
CONN_01X01,P21,1pin,
10k,R1,R_0805_2012Metric,
GND,P5,Pin_Header_Straight_1x01,
22u,C5,CP_Radial_D6.3mm_P2.50mm,
RxD,P3,Pin_Header_Straight_1x01,
22u,C6,C_1206_3216Metric,
+5V,P2,Pin_Header_Straight_1x01,
GND,P4,Pin_Header_Straight_1x01,
CONN_01X02,P6,Pin_Header_Straight_1x02,
CONN_02X01,P7,Pin_Header_Straight_1x02,
CONN_01X02,P8,Pin_Header_Straight_1x02,
74HCT245,U1,SOIC-20W_7.5x12.8mm_P1.27mm,
74HCT245,U2,SOIC-20W_7.5x12.8mm_P1.27mm,
74HCT245,U3,SOIC-20W_7.5x12.8mm_P1.27mm,
74HCT245,U4,SOIC-20W_7.5x12.8mm_P1.27mm,
100n,C4,C_0805_2012Metric,
Conn_01x02,J6,BarrelJack_CUI_PJ-063AH_Horizontal,
Conn_01x02,J1,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,
Conn_01x02,J3,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,
22u,C7,CP_Radial_D6.3mm_P2.50mm,
Conn_01x02,J5,BarrelJack_CUI_PJ-063AH_Horizontal,
22u,C8,C_1206_3216Metric,
Conn_01x02,J4,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,
Conn_01x02,J2,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,
